,lon,lat,near_accidents
120716,13.3850593540001,52.4499998200001,
120723,13.4426813480001,52.544618997,
120727,13.361311944,52.569380429,
120732,13.3599753500001,52.5719725170001,
120757,13.2166927820001,52.509052346,
120762,13.553459843,52.509344119,4660
120763,13.3195350780001,52.5125329630001,"1924,2029,8379"
120781,13.4933186750001,52.4678845660001,
120808,13.4141040060001,52.550738203,476
120812,13.4001979920001,52.415959656,
120814,13.312118087,52.62497094,
120823,13.467552803,52.514509344,"11525,12173"
120827,13.4147872890001,52.54055649,9820
120834,13.355049348,52.485618038,"1489,2716,5295,16391"
120844,13.493668504,52.511696885,
120856,13.448319236,52.504610868,
120872,13.3146535230001,52.5122100890001,"795,1742,2014,4697,5554,5974,7482"
120878,13.453728594,52.5159720610001,"578,3024,6148,10302"
120884,13.4675482910001,52.51450979,"1804,11525,12173"
120886,13.421226943,52.5265023600001,
120888,13.6195468070001,52.5044561830001,
120895,13.4029851510001,52.5974096360001,
120899,13.312720353,52.622952635,
120908,13.413072643,52.540875704,
120911,13.482794445,52.5792233230001,
120914,13.367821943,52.505435327,"818,1342,10620,14497"
120918,13.3870703150001,52.5167562830001,
120928,13.451778733,52.5101500230001,
120932,13.412380807,52.541816737,
120941,13.487307308,52.5123756350001,
120946,13.3882545710001,52.493560931,"9486,9632,9832,10082,12364"
120954,13.387191747,52.4401516660001,"2684,3193"
120958,13.388566993,52.4364517990001,
120964,13.406037902,52.5660321660001,
120967,13.2956068620001,52.510772462,
120971,13.323132609,52.5125293420001,"1130,1352,1696,2628,10262"
120973,13.3792522200001,52.4363147170001,8666
120981,13.432710452,52.5361760310001,
120982,13.306261378,52.511470989,1920
120983,13.354093269,52.4790504090001,
120987,13.513280965,52.454234152,
120992,13.477060398,52.4871191560001,
120996,13.4940941080001,52.5118277560001,9883
120999,13.349488568,52.482497333,
121006,13.3675634730001,52.5513333910001,"12780,17064"
121022,13.3517711760001,52.480412895,
121027,13.4483314440001,52.5046282640001,
121033,13.486903915,52.4722006210001,
121035,13.424302541,52.5288304590001,"13070,13284,13426,16157"
121049,13.354656979,52.4854313430001,5295
121059,13.3148798940001,52.512033015,"795,4697,5554,7482"
121067,13.4482020300001,52.504443839,1416
121068,13.385506364,52.4645296300001,
121075,13.1790915350001,52.5166489700001,
121081,13.4481808240001,52.546975977,
121083,13.4517994560001,52.5101938970001,
121088,13.3696673700001,52.544075074,
121090,13.4446768780001,52.5456412360001,
121100,13.4600459700001,52.492853532,"6002,7387"
121108,13.3804324450001,52.499261383,2109
121113,13.421149664,52.526446257,
121119,13.4481916130001,52.504428993,1416
121129,13.4537369710001,52.515948069,"578,3024,6148,10302"
121131,13.4030172770001,52.5940029560001,
121142,13.506650306,52.510512191,
121144,13.378071477,52.4343586110001,
121151,13.305544712,52.511614928,"1225,2889"
121160,13.36498455,52.560684431,
121163,13.606355622,52.5048266960001,
121167,13.452920039,52.5180704300001,
121183,13.384774597,52.4516386400001,"13398,15328"
121186,13.15575131,52.4191784180001,
121192,13.3537199420001,52.48499208,
121196,13.4759745100001,52.5136509880001,10
121197,13.388102266,52.4376370590001,
121202,13.448706886,52.505203528,3025
121205,13.4536299480001,52.5185020120001,
121206,13.6133867520001,52.504764784,
121208,13.329360794,52.5131622850001,
121216,13.430188532,52.5339158950001,"13533,16156"
121219,13.1790915350001,52.5166489700001,
121221,13.301423045,52.5111551700001,6568
121224,13.414634338,52.556093117,
121225,13.414635559,52.556084996,
121232,13.4651606570001,52.4910999310001,5203
121238,13.4883009530001,52.5124101650001,
121239,13.4931551720001,52.4677820700001,
121242,13.385768404,52.4803104490001,
121250,13.376683891,52.516144818,"4129,4171,4216,4790,7346,7513,9747,10383,10982,11644,12202,13156,14593"
121256,13.341812723,52.5856252150001,
121258,13.3436875190001,52.5831667830001,2944
121263,13.3853296520001,52.462655125,
121272,13.350594121,52.483471917,
121281,13.4254078290001,52.5297952560001,
121282,13.401834846,52.56920438,
121284,13.4196979930001,52.524743598,"4766,16466"
121286,13.410927342,52.5231052840001,"1009,15043"
121287,13.332471405,52.5132156620001,5986
121289,13.145625033,52.4180478980001,
121291,13.45781028,52.4916180540001,"902,4058"
121311,13.364350555,52.5639443420001,
121312,13.41254422,52.5437581790001,
121315,13.4536299480001,52.5185020120001,
121316,13.447837104,52.502442612,
121318,13.4620751790001,52.495220014,
121321,13.3843789970001,52.4526353740001,17158
121326,13.462274275,52.495150993,
121352,13.453595362,52.518438002,
121360,13.4177737540001,52.523511339,
121374,13.386004659,52.4440138670001,
121385,13.4552592740001,52.5003982120001,5229
121395,13.423129277,52.5275614500001,
121400,13.4833061150001,52.576330763,
121402,13.404606535,52.5198021670001,4449
121406,13.349799869,52.481098665,
121407,13.4931058660001,52.4678154110001,
121416,13.4485952320001,52.505021743,3025
121422,13.3705124460001,52.5400106540001,"3438,5097,5356,5712,5994,7456,8527,9214,9466,9601,9626,10103,10459,11199,12811,13334,13571,13683,14024,14736,15678,15800,15922,16197"
121431,13.4445464500001,52.5453167970001,
121435,13.190279515,52.41928569,
121454,13.4501362080001,52.5162708820001,
121457,13.458813008,52.4926813370001,"6375,13787"
121459,13.4605402670001,52.4939610420001,"935,4301,15624"
121463,13.4146359150001,52.556082626,
121470,13.427513371,52.5189173800001,2685
121471,13.582009068,52.5050804200001,
121493,13.47643286,52.5681174630001,
121497,13.3245493370001,52.607127173,9329
121503,13.4422206420001,52.5438678180001,
121504,13.3274040480001,52.6038891650001,
121507,13.283017107,52.4418553100001,
121511,13.4167741800001,52.522091333,"8779,11546,12474,13241,13307,13364"
121518,13.389163479,52.6204899890001,
121520,13.408917193,52.516975959,"2978,9036,15082"
121533,13.3189113780001,52.610798845,
121538,13.4479463230001,52.50407943,
121541,13.494008508,52.511835546,9883
121550,13.42862982,52.5375683720001,
121557,13.4243643790001,52.539260357,3323
121560,13.4600473790001,52.493184661,"6002,7065,8441,9357"
121562,13.4026752840001,52.5927481850001,
121564,13.402484643,52.592096569,
121568,13.451637212,52.548539437,
121580,13.3673557230001,52.551689772,"2404,12780,17064"
121589,13.199960264,52.5124186090001,
121602,13.3887154190001,52.498145612,"4921,7743,9189"
121608,13.44838515,52.5047048000001,
121616,13.421663628,52.539680124,5025
121623,13.453735232,52.5159530490001,"578,3024,6148,10302"
121627,13.498531122,52.4640740190001,
121632,13.354997697,52.478229232,6317
121633,13.497075468,52.465082974,15603
121634,13.3860539780001,52.4832329550001,"13205,17159"
121638,13.4285019600001,52.532084308,
121643,13.357728272,52.487772674,
121648,13.1262987310001,52.478577321,
121658,13.452819235,52.5181380290001,
121663,13.4524865450001,52.5184354190001,11739
121665,13.370070159,52.515726316,"5103,5106,11861"
121676,13.363318818,52.5655310770001,
121700,13.3891403220001,52.4980269610001,"4819,6009,6923,7028,11708"
121701,13.468502259,52.514262677,
121712,13.416262138,52.522055976,"2447,2493,8779,10531,11538,12474,13241,13478,14300,15483,15561"
121719,13.3864421800001,52.490367625,"4051,11231"
121724,13.447702699,52.5467595760001,
121732,13.4137675370001,52.5508119720001,476
121733,13.41478663,52.5550797320001,950
121740,13.3939604070001,52.426956934,
121750,13.497600042,52.4647060830001,
121752,13.282734579,52.4419731510001,2775
121754,13.2715506710001,52.4382933900001,
121758,13.281179127,52.441298524,
121762,13.425812799,52.5301483360001,
121766,13.307459538,52.51154791,
121768,13.289990227,52.510439428,
121782,13.41324898,52.5584890270001,
121786,13.3452954000001,52.5142525320001,16705
121805,13.411973247,52.541132572,"3383,4039,10097,11600,13281"
121829,13.1205880900001,52.477580871,
121849,13.412494897,52.5432050050001,
121860,13.418777682,52.5244173740001,14668
121870,13.456490537,52.500005705,4549
121873,13.260723956,52.4350953360001,"350,5422,5765,6591,8105"
121878,13.387521936,52.4389829850001,
121881,13.2649330450001,52.435588877,
121891,13.459158969,52.4929292200001,
121914,13.411973527,52.541136432,"3383,4039,10097,11600,13281"
121934,13.363073878,52.535773213,"3945,6643"
121938,13.457307127,52.4997416630001,
121957,13.267757972,52.5090871300001,
121958,13.413621049,52.5500000100001,
121969,13.41993518,52.524946766,"1658,4766,16466"
121976,13.4134301930001,52.5586876730001,
121978,13.3573407960001,52.4870676530001,11978
121989,13.469094845,52.5142040800001,4268
121996,13.402526548,52.5859599950001,
121998,13.367829585,52.5508693560001,"3019,8831,10794"
122001,13.3876114440001,52.4389981040001,
122005,13.369752385,52.5158254510001,11861
122018,13.493573762,52.5117047910001,
122024,13.381334135,52.5098249330001,
122030,13.412323144,52.541105261,"3383,4039,7541,9037,9039,11600,15651"
122031,13.429890772,52.537396771,
122040,13.4137291600001,52.5505948570001,476
122041,13.3230364350001,52.512830916,"1696,3257"
122046,13.3644094690001,52.5637636690001,
122065,13.4537747370001,52.5157200890001,"578,971,3024,10302,11740"
122074,13.581359924,52.505085582,
122084,13.4023894530001,52.591767804,
122109,13.1522540890001,52.418703113,1951
122122,13.4327156580001,52.5361743190001,
122130,13.3671938860001,52.5516611800001,"2404,12780,17064"
122132,13.3894615040001,52.495091168,"7378,12209"
122136,13.364631558,52.5613745810001,
122138,13.413725281,52.5505719710001,476
122151,13.379452986,52.5097013100001,
122166,13.1718356910001,52.5112622140001,
122172,13.396834628,52.5174682250001,"558,6219,6426"
122179,13.345536856,52.580774659,2972
122188,13.365687092,52.533129558,
122201,13.398267065,52.57738255,
122210,13.369810774,52.543270964,"1655,16664"
122212,13.3857826930001,52.4809465110001,
122227,13.3617326030001,52.4971096520001,
122229,13.384374211,52.452660204,17158
122233,13.4237413600001,52.539144886,
122234,13.3028048910001,52.511434615,
122238,13.412593633,52.543956784,
122246,13.385740432,52.469446926,15327
122247,13.4519301670001,52.5198217590001,
122256,13.25904767,52.508566558,
122287,13.346616039,52.579369484,
122307,13.3683354390001,52.5411110730001,"1654,3363,4090,4927,5015,6670,7449,7458,7478,8436,9096,9190,9598,9819,10638,12016,12630,13064,13713,14314,14663,14786,14863,14894,14927,15407,15579,15855,15938,15994"
122311,13.306080606,52.5114593820001,1920
122317,13.297192651,52.5108766760001,4421
122329,13.314874468,52.512032655,"795,4697,5554,7482"
122330,13.36725045,52.551572718,"2404,12780,17064"
122332,13.1693175720001,52.420673504,
122333,13.3624595650001,52.4988351760001,
122344,13.452557304,52.518629321,11739
122349,13.384873624,52.451115735,13768
122353,13.2658887590001,52.435947368,
122356,13.2621843580001,52.508743044,
122357,13.4146396960001,52.5560574670001,
122367,13.5100023750001,52.456452449,"3709,14646"
122370,13.4240554400001,52.5390930460001,3107
122374,13.3698152920001,52.543227507,"1655,16664"
122380,13.368725699,52.5410780890001,"600,1654,4061,4090,5079,7449,7458,7478,8367,8436,8922,9096,9598,9757,9818,9844,11994,13713,14314,14786,14863,14894,14927,15407,15575,15579,15790,15923"
122387,13.6206943610001,52.5041973880001,
122393,13.4148576960001,52.554564414,3395
122400,13.4112865710001,52.385596568,
122409,13.5055102590001,52.459580143,
122411,13.479463987,52.4845113210001,
122416,13.368251158,52.505652701,"174,818,1342,13499,14497"
122422,13.5799797920001,52.5050791450001,
122426,13.401753699,52.511349152,14599
122438,13.46324184,52.550958764,
122439,13.419720973,52.52529229,
122450,13.448658633,52.505124967,3025
122453,13.455542199,52.500312336,5229
122460,13.5485908540001,52.5509562890001,
122466,13.35260018,52.479893846,
122470,13.2729966700001,52.5098251430001,
122476,13.2975268390001,52.5108987790001,4421
122486,13.4536299480001,52.5185020120001,
122490,13.439062478,52.5415459220001,"11292,16375"
122494,13.416792613,52.5221077530001,"8779,11546,13241,13307,13364"
122495,13.5399945890001,52.51001017,
122500,13.3261944270001,52.6050822400001,"9331,9332"
122514,13.4709151660001,52.5656126980001,
122523,13.412395589,52.541996469,
122536,13.3983099270001,52.5793844250001,
122551,13.48271249,52.5726661580001,
122553,13.2088350010001,52.4259219090001,
122555,13.1754987620001,52.4199378220001,
122569,13.4391841940001,52.541245003,"1806,12249,13162,13341,16375"
122573,13.500887635,52.4626511500001,
122576,13.3845468320001,52.452847465,1789
122599,13.4481989980001,52.504439518,1416
122601,13.3852534690001,52.462328627,
122616,13.4137597390001,52.5507712240001,476
122625,13.4660305470001,52.5146620850001,"2491,4096"
122633,13.4577703780001,52.4916445690001,"902,4058"
122640,13.4542360240001,52.5157534320001,"971,2120,2786,3024,3088,4098"
122653,13.3595210720001,52.4894562860001,
122657,13.370031474,52.515841767,"5103,5106,11861"
122658,13.4766222580001,52.513593379,"10,10481"
122670,13.4124114970001,52.5446768850001,
122671,13.6134573150001,52.5048941860001,
122701,13.403464366,52.582960568,7147
122704,13.2666035930001,52.4360711910001,
122708,13.260667331,52.508653979,
122712,13.3881174480001,52.493759525,"9486,9632,10082,12364,16860"
122715,13.297253964,52.5108808050001,4421
122722,13.3781971560001,52.5003034800001,
122724,13.6042285940001,52.504967112,
122729,13.4035736610001,52.569232357,
122737,13.3876473290001,52.439539713,
122746,13.4520337440001,52.5196686560001,1894
122753,13.436033169,52.51754628,"123,2925,16080"
122759,13.389217122,52.495082058,"12209,13033,16510"
122762,13.3164718360001,52.512138781,
122764,13.3794673370001,52.5097023010001,
122783,13.368805294,52.549177306,"7125,10658,10758"
122806,13.414049859,52.5504524890001,
122817,13.412592379,52.5193789030001,
122821,13.430818607,52.534074929,"13533,16441"
122831,13.376582727,52.4312049260001,
122864,13.384281021,52.4543708910001,
122868,13.440029059,52.5329845210001,
122872,13.3323151230001,52.5985627050001,
122877,13.4479400590001,52.5263311630001,
122889,13.307659018,52.511560838,
122898,13.425014757,52.529109949,
122903,13.429196059,52.533067348,"225,16277"
122905,13.4089544390001,52.5170100940001,"2978,9036,15082"
122915,13.460278562,52.493513034,"3453,6038,7136,8441,9357"
122919,13.384842597,52.450212612,
122924,13.457919454,52.4917842190001,"902,6170,11405"
122927,13.403623124,52.5126566110001,
122933,13.453728594,52.5159720610001,"578,3024,6148,10302"
122935,13.4772961620001,52.513382484,"922,1963"
122943,13.5534172060001,52.5093449760001,4660
122950,13.363341747,52.5355062610001,"3945,7977,16808"
122956,13.369279294,52.540524965,"8456,8481,9847,16334,16438"
122962,13.3227829840001,52.5122685750001,"435,7412"
122971,13.4689125630001,52.5627629160001,
122975,13.45422211,52.515819767,"971,2120,2786,3024,3088,4098"
122977,13.2943723500001,52.5107011910001,
122979,13.4764563590001,52.5681284730001,
122982,13.3872308860001,52.4401579550001,"2684,3193"
122999,13.3991142840001,52.4178339380001,
123004,13.175344201,52.4198301820001,
123010,13.4027852520001,52.5931503640001,
123012,13.4146049,52.5562993610001,
123014,13.408955044,52.517010649,"2978,9036,15082"
123018,13.476728043,52.5134368780001,"7351,10481"
123020,13.297178091,52.510875695,4421
123022,13.4386808030001,52.533354467,
123033,13.4483085910001,52.5045956970001,
123036,13.4243182720001,52.5390263740001,3107
123060,13.408937,52.5169941120001,"2978,9036,15082"
123064,13.388129346,52.4375607960001,
123066,13.4130810660001,52.5471137160001,
123071,13.3872090850001,52.4401544520001,"2684,3193"
123091,13.406874649,52.3926683600001,
123096,13.4422749,52.5311933450001,
123098,13.461024659,52.4941028000001,"1302,4496,5465"
123102,13.2148232320001,52.427560725,4519
123112,13.412223409,52.5439304880001,
123116,13.4537766560001,52.5157289210001,"578,971,3024,10302,11740"
123136,13.4457989960001,52.516705351,
123149,13.2972233080001,52.5108787410001,4421
123155,13.473354215,52.5139198000001,15451
123174,13.46024441,52.4937400470001,7136
123177,13.460365907,52.550331559,
123178,13.2991531910001,52.5111957840001,
123180,13.553050065,52.5090549650001,
123181,13.26347695,52.4350722,
123183,13.442678932,52.5446175390001,
123184,13.4675731300001,52.514507334,"11525,12173"
123196,13.3851160900001,52.448786243,15329
123205,13.4536258860001,52.518493774,
123209,13.4130065530001,52.545593206,"1069,9938"
123211,13.368006741,52.5505604320001,"1459,3019,8831,10794"
123214,13.1754806000001,52.4197853360001,
123218,13.4125217440001,52.3836247680001,
123220,13.4625373580001,52.515007123,"2101,4269"
123222,13.406875606,52.3926419310001,
123228,13.380881259,52.5097956610001,7827
123229,13.3851784300001,52.4385847630001,
123231,13.3698334040001,52.5086489440001,
123239,13.5369031170001,52.5301377590001,
123246,13.414741168,52.5206719660001,12182
123249,13.3053344840001,52.5116009330001,"1225,2889,4422"
123250,13.3128622890001,52.622480678,
123256,13.5545022480001,52.5578032990001,
123257,13.4673745220001,52.5143748290001,"1804,11525"
123259,13.368482871,52.541173874,"600,1654,4061,4090,4927,6670,7449,7478,8367,8436,9096,9190,9598,9757,9819,9844,10638,12016,13064,13713,14314,14663,14786,14863,14894,14927,15407,15575,15579,15855,15923,15938,15994"
123263,13.448656366,52.5051212760001,3025
123268,13.4136370360001,52.550087739,
123271,13.3623342430001,52.4985310000001,9702
123273,13.396259308,52.4235160740001,
123278,13.419942384,52.524952936,"1658,4766,16466"
123284,13.549655483,52.5521908100001,
123289,13.427511872,52.531240385,13739
123291,13.364490641,52.562176644,
123303,13.47638156,52.5680934270001,
123312,13.363975629,52.5646534700001,
123317,13.412442803,52.5425705500001,
123331,13.369846065,52.5417220850001,"576,805,1619,1624,1923,2448,2748,3437,3807,4203,4516,5316,5709,6689,7106,7527,8244,8366,8400,8428,8979,9540,9583,9983,11020,11494,11842,12068,12285,12362,12700,14577,14674,15406,16121,16490,17162"
123336,13.48331161,52.5830714590001,
123347,13.4167560610001,52.522075192,"8779,11546,12474,13241,13307,13364,13478,14301,15111"
123348,13.423806541,52.5280912650001,"13216,13356,15281,16377"
123366,13.401707286,52.590025531,
123374,13.4485234860001,52.5049049310001,3025
123381,13.4347877270001,52.537487943,16440
123388,13.414067317,52.557819534,
123403,13.4474447710001,52.503450441,
123407,13.5637120870001,52.508010599,
123417,13.4298687240001,52.5332500110001,
123418,13.473453057,52.513767681,15451
123421,13.168903867,52.420627794,
123428,13.4844859030001,52.5127956480001,29
123438,13.4932951050001,52.511728041,
123444,13.4115107490001,52.5187192000001,"2102,12433"
123453,13.421920592,52.526604406,
123464,13.4272604540001,52.518624656,
123469,13.4190653910001,52.5398925270001,
123479,13.390393698,52.618465685,11314
123490,13.414502783,52.557035571,
123492,13.157912934,52.4194179150001,
123499,13.3857404280001,52.4694467580001,15327
123501,13.240176782,52.4332082160001,
123509,13.553043019,52.5090556650001,
123517,13.4168013570001,52.5221155420001,"8779,11546,13241,13307,13364"
123519,13.2634968780001,52.4350770410001,
123520,13.3845928600001,52.4525984370001,17158
123521,13.4090873980001,52.5171270220001,"2978,9036,15082"
123523,13.4141025480001,52.5507306980001,476
123525,13.457768479,52.491645831,"902,4058"
123530,13.4483162060001,52.5046065490001,
123532,13.448053714,52.504232474,1416
123539,13.403840944,52.5822518150001,
123557,13.484359903,52.5126766110001,29
123559,13.4533080530001,52.5135666470001,12925
123566,13.4602653210001,52.5150975120001,"933,1414,2226"
123570,13.3860539780001,52.4832329550001,"13205,17159"
123600,13.260587163,52.434979749,"350,4870,5238,5422,5541,5765,6276"
123601,13.4932786420001,52.511729415,
123604,13.355224935,52.4782538000001,
123606,13.3010999850001,52.511324023,
123608,13.3116417960001,52.6265717590001,
123610,13.460580667,52.5150661170001,"933,1414,2226"
123611,13.4323056760001,52.5179403130001,"2119,2259,15056"
123631,13.3637236970001,52.5647740220001,
123633,13.3051753840001,52.5114011630001,
123641,13.447370574,52.52646874,
123645,13.1593729790001,52.4195789230001,
123653,13.3367246460001,52.5135202100001,2453
123657,13.297178091,52.510875695,4421
123662,13.4833085280001,52.58306178,
123670,13.387521936,52.4389829850001,
123672,13.4128974270001,52.546442529,
123683,13.377722906,52.4336293910001,870
123687,13.396341509,52.4233727690001,
123690,13.3196848370001,52.5125427900001,"1724,1924,8379"
123692,13.3685665090001,52.5412129650001,"600,1654,4061,4090,4927,6670,7449,7478,8367,8436,8922,9096,9190,9598,9757,9819,9844,10638,13713,14314,14663,14786,14863,14894,14927,15407,15575,15579,15855,15923,15938,15994"
123700,13.3599290770001,52.5720590860001,
123702,13.4972772720001,52.464935546,15603
123704,13.26349466,52.4350765020001,
123715,13.3654880120001,52.5580438040001,12779
123727,13.3892690050001,52.4974696310001,"2234,3065,4767,6065,12623"
123731,13.450584765,52.5078221030001,
123734,13.5402307960001,52.5100003100001,
123737,13.4677587300001,52.514336196,"11525,12173"
123739,13.318846573,52.6108383060001,
123744,13.461634545,52.5151001130001,
123745,13.3698921750001,52.508678751,
123752,13.3863271230001,52.510140952,
123757,13.430408288,52.536944127,
123759,13.376676253,52.5161443580001,"4129,4171,4216,4790,7346,7513,9747,10383,10982,11644,12202,13156,14593"
123766,13.41679048,52.522105853,"8779,11546,13241,13307,13364"
123768,13.403698467,52.5690778520001,
123769,13.2604274010001,52.4351418050001,"350,485,622,1151,4524,5073,5221,5323,5422,5765,6276,6303,6944,7986,8043,8105,8268"
123772,13.26341869,52.4352031880001,
123774,13.3572598800001,52.514914106,"3140,3141,3142,4829"
123776,13.482841477,52.5734608340001,
123781,13.433231473,52.535966106,14720
123783,13.4327039400001,52.5361781730001,
123795,13.3683354390001,52.5411110730001,"1654,3363,4090,4927,5015,6670,7449,7458,7478,8436,9096,9190,9598,9819,10638,12016,12630,13064,13713,14314,14663,14786,14863,14894,14927,15407,15579,15855,15938,15994"
123808,13.479449873,52.4845045960001,
123819,13.4137599430001,52.5507722890001,476
123821,13.400059862,52.511195543,
123827,13.380406066,52.4378596940001,
123833,13.43727619,52.5400178680001,
123840,13.369394524,52.5465876040001,
123844,13.493123655,52.4678033820001,
123848,13.2334203660001,52.431857189,
123865,13.436450544,52.5175021250001,"123,2925,16080"
123869,13.35431956,52.485271857,
123875,13.413525812,52.558640976,
123880,13.376612315,52.5161405060001,"4129,4171,4216,4790,7346,7513,9747,10383,10982,11644,12202,13156,14593"
123888,13.3849141320001,52.5100575530001,"2172,14740"
123893,13.42227087,52.5201400650001,
123895,13.448760716,52.505291169,1680
123897,13.364812237,52.5616174200001,
123901,13.353232747,52.4797045180001,4364
123905,13.376857837,52.5019971900001,"3594,8371,12799,16881"
123908,13.4485601970001,52.5247554200001,
123923,13.368367689,52.5058315800001,
123938,13.3642206100001,52.5013834200001,
123939,13.423931055,52.539113677,
123941,13.4537757740001,52.51572486,"578,971,3024,10302,11740"
123945,13.4930956260001,52.467822309,
123949,13.4429225110001,52.5310062240001,
123955,13.4882866070001,52.5124115890001,
123959,13.2635931140001,52.435100382,
123968,13.267170767,52.436338877,
123972,13.4556507410001,52.500277241,
123974,13.5909617990001,52.5050887370001,
123979,13.4032333010001,52.5192446790001,"749,1008,4132"
123985,13.3887292750001,52.498142208,"4921,7743,9189"
123987,13.5534172060001,52.5093449760001,4660
124005,13.3409188630001,52.5139420240001,
124007,13.418422903,52.524088228,
124010,13.4363737200001,52.5175102530001,"123,2925,16080"
124014,13.4102939470001,52.5620252910001,
124022,13.396038268,52.423295485,
124034,13.3584019240001,52.48822634,
124040,13.4427010960001,52.544630919,
124048,13.2497608520001,52.5079854310001,
124055,13.4120035670001,52.541549364,
124058,13.1590280360001,52.4195417650001,
124059,13.3867760160001,52.498622045,
124065,13.2809236480001,52.5098691540001,
124067,13.4195730320001,52.5209645780001,
124078,13.468431335,52.4901186910001,
124092,13.4379549330001,52.5173488680001,
124096,13.418754141,52.5243952820001,14668
124101,13.285839664,52.510180899,
124107,13.447850752,52.5470488130001,
124117,13.358064562,52.5149648170001,
124126,13.41993036,52.524942637,"1658,4766,16466"
124133,13.450430689,52.516241597,
124146,13.3765251130001,52.509406147,"5466,6310,7361,9563,9738,10204,13875,16231"
124150,13.3641410750001,52.5639767760001,
124157,13.42876184,52.532304837,
124164,13.096168011,52.413211405,
124167,13.4203207200001,52.525274358,13309
124186,13.504500165,52.5106509940001,"14431,14432"
124189,13.476744673,52.513435315,"7351,10481"
